배송타입,SKU수,리뷰0_SKU,총리뷰수,중앙값리뷰,리뷰0_비율%,리뷰per_SKU
샛별배송,81,23,1272,3.0,28.4,15.7
판매자배송,3559,3018,1226,0.0,84.8,0.34
