가격대,SKU_샛별배송,SKU_판매자배송,리뷰_샛별배송,리뷰_판매자배송,밀도_샛별배송,밀도_판매자배송
2만원 미만,32,594,1056,510,33.0,0.86
2만원 이상,49,2965,216,716,4.41,0.24
